id,especie,raca,idade_anos,sexo,hemoglobina,hematocrito,leucocitos,plaquetas,glicose,ureia,creatinina,alt,ast,fosfatase_alcalina,proteinas_totais,albumina,colesterol,triglicerideos,eosinofilos,febre,apatia,perda_peso,vomito,diarreia,tosse,letargia,feridas_cutaneas,poliuria,polidipsia,diagnostico
VET0001,Canina,Persa,16.0,M,12.92,47.37,16.57,327.24,106.82,48.03,1.52,50.58,18.96,148.03,7.16,2.66,258.92,133.09,1.39,0,0,0,0,0,0,0,1,0,0,Dermatite
VET0002,Felina,Persa,6.9,F,9.85,32.65,12.48,467.57,310.82,40.87,1.5,54.26,10.52,56.45,6.45,3.85,191.24,92.65,,0,0,1,0,0,0,0,0,1,1,Diabetes Mellitus
VET0003,Felina,Siamês,16.4,M,12.15,36.61,11.11,523.86,282.86,35.46,1.83,76.23,24.93,28.95,7.61,3.07,148.04,48.42,,0,0,1,0,0,0,0,0,1,0,Diabetes Mellitus
VET0004,Canina,Maine Coon,4.2,M,12.85,44.32,9.56,226.08,101.66,42.08,1.43,28.37,53.56,103.58,6.88,3.68,217.47,63.66,,0,1,0,0,0,0,0,0,0,0,Artrose
VET0005,Canina,Labrador,7.5,M,13.09,45.73,11.64,422.51,321.05,32.08,0.74,68.05,29.76,37.2,7.29,3.4,381.12,209.27,,0,0,1,1,0,0,0,0,1,1,Diabetes Mellitus
VET0006,Canina,SRD,20.0,F,16.63,44.6,9.89,487.59,221.28,22.71,1.35,16.14,44.3,76.84,7.32,3.44,381.89,199.99,,0,0,1,0,0,0,1,0,1,1,Diabetes Mellitus
VET0007,Canina,Labrador,6.6,M,16.23,47.77,11.06,222.78,224.81,20.07,1.56,10.47,18.61,60.9,7.1,3.75,301.24,216.33,,0,1,1,1,0,1,1,0,1,0,Diabetes Mellitus
VET0008,Felina,Poodle,11.7,F,14.49,30.51,22.3,418.94,143.95,59.13,1.93,43.19,44.48,69.12,6.8,3.66,94.07,69.72,,0,0,0,0,0,0,0,0,0,0,Doença Periodontal
VET0009,Felina,Persa,3.2,F,10.4,30.37,33.8,308.51,139.98,45.87,1.93,65.91,49.92,34.55,7.92,3.06,142.79,72.06,,1,1,0,0,0,0,0,0,0,0,Doença Periodontal
VET0010,Felina,Labrador,5.4,F,13.72,31.34,11.35,651.65,145.58,44.02,1.54,25.36,56.36,26.22,8.36,3.41,156.85,63.45,,0,0,0,0,0,0,1,0,1,0,Artrose
VET0011,Canina,Labrador,4.4,F,12.92,51.68,14.28,267.15,96.85,37.79,1.14,18.23,45.71,54.53,6.98,3.66,263.79,132.08,,0,0,0,0,0,0,0,0,0,0,Otite
VET0012,Felina,Siamês,15.2,F,14.19,41.01,25.25,647.26,89.62,34.72,0.99,33.38,19.55,75.11,6.26,3.48,110.81,91.12,,0,1,0,1,0,0,0,0,0,0,Doença Periodontal
VET0013,Felina,Poodle,3.3,F,13.91,31.93,9.47,307.37,104.58,55.2,1.27,22.56,40.15,65.22,6.43,3.58,194.2,37.48,,0,0,0,0,0,0,1,0,0,0,Saudável
VET0014,Canina,Persa,13.3,M,13.94,45.8,14.47,404.99,92.3,28.21,1.6,48.36,30.8,41.27,7.07,3.4,160.91,30.71,,0,0,0,1,0,0,1,0,0,0,Saudável
