id,especie,raca,idade_anos,sexo,hemoglobina,hematocrito,leucocitos,glicose,ureia,creatinina,alt,albumina,febre,apatia,perda_peso,vomito,diarreia,tosse,letargia,feridas_cutaneas,poliuria,polidipsia,diagnostico
VET0001,Canina,Persa,5.7,M,15.75,44.45,13.94,117.85,33.13,0.93,81.58,3.43,0,1,0,0,0,0,0,0,0,0,Saudável
VET0002,Canina,Persa,10.0,F,14.82,50.86,11.32,96.01,23.6,0.84,52.22,2.85,0,1,0,0,0,0,0,0,0,0,Saudável
VET0003,Canina,Labrador,8.5,M,15.85,42.18,7.87,89.7,31.31,1.02,46.47,3.56,0,1,0,0,0,0,1,0,0,0,Saudável
VET0004,Canina,Labrador,14.7,F,15.63,47.33,14.66,108.41,41.04,0.94,37.53,2.75,0,0,0,0,0,0,0,0,0,0,Saudável
VET0005,Canina,Maine Coon,2.7,F,20.06,41.32,10.8,94.09,23.65,1.31,68.07,3.21,0,0,0,0,0,0,0,0,0,0,Saudável
VET0006,Canina,SRD,6.7,F,14.66,50.49,12.53,90.36,40.39,0.92,42.64,3.58,0,0,0,0,0,0,0,0,0,0,Saudável
VET0007,Canina,Maine Coon,17.0,M,14.97,38.31,8.78,80.11,35.82,0.87,36.82,3.2,0,1,0,0,0,1,0,0,0,0,Saudável
VET0008,Canina,Labrador,5.1,F,12.9,47.05,13.63,95.42,25.42,1.24,58.63,2.87,0,0,0,0,0,0,0,0,0,0,Saudável
VET0009,Canina,Maine Coon,4.1,M,13.46,47.96,6.87,96.78,43.0,1.05,37.97,2.95,0,0,0,0,0,0,1,0,0,0,Saudável
VET0010,Canina,Labrador,10.2,M,13.36,40.23,13.97,80.38,41.3,1.35,33.59,3.49,0,0,0,0,0,0,1,0,0,0,Saudável
VET0011,Canina,Labrador,12.0,F,14.6,55.88,13.88,82.14,26.43,1.14,45.53,3.41,0,1,0,1,0,0,0,0,0,0,Saudável
VET0012,Canina,Maine Coon,4.9,F,15.14,40.41,16.17,82.17,26.78,1.26,41.01,3.33,0,0,0,0,0,0,0,0,0,0,Saudável
VET0013,Canina,Poodle,7.5,F,12.66,53.0,8.4,113.02,36.2,1.04,57.09,2.64,0,0,0,1,0,0,0,0,0,0,Saudável
VET0014,Canina,Maine Coon,15.9,M,14.27,41.91,16.98,89.99,32.46,1.1,17.76,3.48,0,1,0,0,0,0,0,0,0,0,Saudável
VET0015,Canina,Labrador,8.3,F,14.64,52.49,11.94,81.01,24.64,0.97,10.1,2.81,0,0,0,0,0,0,0,0,0,0,Saudável
VET0016,Canina,Maine Coon,14.4,M,14.42,48.0,17.43,98.4,32.83,1.13,72.72,3.35,0,0,0,0,0,0,0,0,0,0,Saudável
VET0017,Canina,Poodle,4.5,M,17.93,44.84,13.59,92.24,34.28,0.85,51.01,3.35,0,0,0,0,0,0,0,0,0,0,Saudável
VET0018,Canina,Maine Coon,11.3,M,16.19,50.22,12.06,105.23,32.52,1.1,47.4,3.23,0,0,0,0,0,0,0,0,0,0,Saudável
VET0019,Canina,Poodle,5.2,M,15.49,51.7,14.67,102.44,35.44,1.02,21.21,3.08,0,0,0,0,0,0,0,0,0,0,Saudável
VET0020,Canina,Poodle,9.1,M,17.04,50.91,9.36,83.12,25.62,0.52,41.56,3.63,0,0,0,0,0,0,0,0,0,0,Saudável
VET0021,Canina,Poodle,9.1,F,15.02,43.11,12.65,87.92,30.55,0.73,80.52,3.31,1,0,0,0,0,0,0,0,0,0,Saudável
VET0022,Canina,Persa,16.6,M,14.26,44.8,10.06,70.99,22.88,1.2,47.54,3.39,0,1,0,0,0,0,0,0,0,1,Saudável
VET0023,Canina,Labrador,6.8,M,15.33,43.06,16.92,98.38,36.33,1.24,68.48,3.44,0,0,0,0,0,0,0,0,0,0,Saudável
VET0024,Canina,Siamês,9.1,M,18.09,52.02,11.25,109.57,40.16,1.41,30.7,3.41,0,0,0,0,0,0,0,0,0,0,Saudável
VET0025,Canina,Poodle,11.7,M,12.17,38.19,11.83,100.76,34.74,0.38,48.22,2.81,0,0,0,0,0,0,0,0,0,0,Saudável
VET0026,Canina,Poodle,8.1,F,14.2,41.83,11.68,79.47,30.57,0.64,89.29,3.21,0,0,0,0,0,0,0,0,0,0,Saudável
VET0027,Canina,Siamês,14.8,M,15.47,38.94,16.1,119.67,33.01,1.17,56.23,4.12,0,0,0,0,0,0,0,0,0,0,Saudável
